Dest Lat,Dest Long,Source Lat,Source Lon
-27.4966,-64.93595,-34.5592,-58.4156
-27.45,-59.0561,-34.5592,-58.4156
-27.3858,-55.9707,-34.5592,-58.4156
-26.8409,-65.1049,-34.5592,-58.4156
-26.2127,-58.2281,-34.5592,-58.4156
-25.7373,-54.4734,-34.5592,-58.4156
-25.5285,-49.1758,-34.5592,-58.4156
-25.24,-57.52,-34.5592,-58.4156
-24.856,-65.4862,-34.5592,-58.4156
-24.3928,-65.0978,-34.5592,-58.4156
-23.43556,-46.47306,-34.5592,-58.4156
-22.81,-43.25056,-34.5592,-58.4156
-34.7022,146.51199,-34.2508,146.067
-33.9461,151.177,-34.2508,146.067
-37.6733,144.843,-34.2292,142.086
-34.945,138.53101,-34.2292,142.086
-33.9461,151.177,-34.2292,142.086
-32.0014,141.472,-34.2292,142.086
-33.9648,18.6017,-34.0056,22.3789
-29.61444,31.11972,-34.0056,22.3789
-26.1392,28.246,-34.0056,22.3789
-33.9648,18.6017,-33.9849,25.6173
-33.0356,27.8259,-33.9849,25.6173
-29.61444,31.11972,-33.9849,25.6173
-26.1392,28.246,-33.9849,25.6173
-34.0056,22.3789,-33.9648,18.6017
-33.9849,25.6173,-33.9648,18.6017
-33.0356,27.8259,-33.9648,18.6017
-29.61444,31.11972,-33.9648,18.6017
-29.0927,26.3024,-33.9648,18.6017
-28.8028,24.7652,-33.9648,18.6017
-28.3991,21.2602,-33.9648,18.6017
-26.1392,28.246,-33.9648,18.6017
-25.9385,27.9261,-33.9648,18.6017
-25.9208,32.5726,-33.9648,18.6017
-25.3832,31.1056,-33.9648,18.6017
-24.5552,25.9182,-33.9648,18.6017
-24.3686,31.0487,-33.9648,18.6017
-22.9799,14.6453,-33.9648,18.6017
-22.4799,17.4709,-33.9648,18.6017
-20.4302,57.6836,-33.9648,18.6017
-19.9726,23.4311,-33.9648,18.6017
-8.85837,13.2312,-33.9648,18.6017
25.2528,55.3644,-33.9648,18.6017
51.4706,-0.46194,-33.9648,18.6017
52.3086,4.76389,-33.9648,18.6017
-45.0211,168.739,-33.9461,151.177
-43.4894,172.532,-33.9461,151.177
-42.8361,147.50999,-33.9461,151.177
-41.5453,147.214,-33.9461,151.177
-41.3272,174.80499,-33.9461,151.177
-38.0394,144.46899,-33.9461,151.177
-37.6733,144.843,-33.9461,151.177
-37.0081,174.79201,-33.9461,151.177
-36.9086,149.901,-33.9461,151.177
-36.0678,146.95799,-33.9461,151.177
-35.8978,150.144,-33.9461,151.177
-35.3069,149.19501,-33.9461,151.177
-35.1653,147.466,-33.9461,151.177
-34.945,138.53101,-33.9461,151.177
-34.7022,146.51199,-33.9461,151.177
-34.2508,146.067,-33.9461,151.177
-34.2292,142.086,-33.9461,151.177
-33.4094,149.65199,-33.9461,151.177
-33.393,-70.7858,-33.9461,151.177
-33.3817,149.133,-33.9461,151.177
-33.1314,148.239,-33.9461,151.177
-32.795,151.834,-33.9461,151.177
-32.2167,148.575,-33.9461,151.177
-32.0014,141.472,-33.9461,151.177
-31.9403,115.967,-33.9461,151.177
-31.8886,152.51401,-33.9461,151.177
-31.5383,159.077,-33.9461,151.177
-31.4358,152.86301,-33.9461,151.177
-31.0839,150.847,-33.9461,151.177
-30.5281,151.617,-33.9461,151.177
-30.3206,153.116,-33.9461,151.177
-29.4989,149.845,-33.9461,151.177
-29.0416,167.939,-33.9461,151.177
-28.8339,153.562,-33.9461,151.177
-28.8303,153.25999,-33.9461,151.177
-28.1644,153.505,-33.9461,151.177
-27.5428,151.916,-33.9461,151.177
-27.3842,153.117,-33.9461,151.177
-26.6033,153.091,-33.9461,151.177
-26.1392,28.246,-33.9461,151.177
-25.3189,152.88,-33.9461,151.177
-25.1861,130.976,-33.9461,151.177
-23.8697,151.22301,-33.9461,151.177
-23.8067,133.90199,-33.9461,151.177
-22.0146,166.213,-33.9461,151.177
-21.2412,-175.14999,-33.9461,151.177
-21.2027,-159.806,-33.9461,151.177
-21.1717,149.17999,-33.9461,151.177
-20.7122,116.773,-33.9461,151.177
-20.495,148.552,-33.9461,151.177
-20.3581,148.952,-33.9461,151.177
-19.2525,146.765,-33.9461,151.177
-18.0433,178.55901,-33.9461,151.177
-17.9447,122.232,-33.9461,151.177
-17.7554,177.44299,-33.9461,151.177
-17.6993,168.32001,-33.9461,151.177
-16.8858,145.755,-33.9461,151.177
-13.83,-172.008,-33.9461,151.177
-12.4147,130.877,-33.9461,151.177
-9.44338,147.22,-33.9461,151.177
-8.74817,115.167,-33.9461,151.177
-6.12557,106.656,-33.9461,151.177
1.35019,103.994,-33.9461,151.177
2.74558,101.71,-33.9461,151.177
8.1132,98.3169,-33.9461,151.177
10.8188,106.652,-33.9461,151.177
13.6811,100.747,-33.9461,151.177
14.5086,121.02,-33.9461,151.177
21.32062,-157.92423,-33.9461,151.177
22.3089,113.915,-33.9461,151.177
23.3924,113.299,-33.9461,151.177
24.433,54.6511,-33.9461,151.177
25.0777,121.233,-33.9461,151.177
25.2528,55.3644,-33.9461,151.177
28.5665,77.1031,-33.9461,151.177
29.7192,106.642,-33.9461,151.177
31.1434,121.805,-33.9461,151.177
31.742,118.862,-33.9461,151.177
32.8968,-97.038,-33.9461,151.177
33.9425,-118.408,-33.9461,151.177
35.7647,140.386,-33.9461,151.177
37.4691,126.451,-33.9461,151.177
37.619,-122.375,-33.9461,151.177
40.0801,116.585,-33.9461,151.177
49.1939,-123.184,-33.9461,151.177
-31.9403,115.967,-33.7972,120.208
-34.9433,117.809,-33.68842,115.4016
-31.9403,115.967,-33.68842,115.4016
-33.7972,120.208,-33.6844,121.823
-31.9403,115.967,-33.6844,121.823
-33.9461,151.177,-33.4094,149.65199
-33.1314,148.239,-33.4094,149.65199
-53.0026,-70.8546,-33.393,-70.7858
-45.9161,-71.6895,-33.393,-70.7858
-41.4389,-73.094,-33.393,-70.7858
-40.6112,-73.061,-33.393,-70.7858
-38.7668,-72.6371,-33.393,-70.7858
-37.0081,174.79201,-33.393,-70.7858
-36.7727,-73.0631,-33.393,-70.7858
-34.8384,-56.0308,-33.393,-70.7858
